"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"CalculationProcedureStep","Calculation Procedure Step","Id","Calculation Procedure Step ID","id",18,false,"[]",,false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","Name","Name","string",255,false,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","CalculationProcedureVersionId","Calculation Procedure Version ID","reference",18,false,"[""CalculationProcedureVersion""]","CalculationProcedureVersion",false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","FormulaConvertedText","Formula Converted Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","FormulaExpressionText","Formula Expression Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","FormulaUiFormattedText","Formula UI Formatted Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","CalculationMatrixId","Decision Matrix ID","reference",18,true,"[""CalculationMatrix""]","CalculationMatrix",false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","CalculationProcedure","Expression Set","string",255,true,"[]",,false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","IsConditionalStep","Conditional Step","boolean",0,false,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","ConditionsConvertedText","Conditions Converted Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","ConditionsExpressionText","Conditions Expression Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","ConditionsUiFormattedText","Conditions UI Formatted Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","StepType","Step Type","picklist",255,true,"[]",,false,true,,"[""Calculation"",""Aggregation"",""Matrix Lookup"",""Group Matrix Lookup"",""Reference Procedure"",""Condition"",""Decision Table Lookup"",""Branch"",""Default Lane"",""Business Element"",""List Enabled Group"",""List Filter""]",false
"CalculationProcedureStep","Calculation Procedure Step","InputVariablesFormatText","Input Variables Format Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","IsResultIncluded","Result Included","boolean",0,false,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","CalculationMatrixType","Decision Matrix Type","string",255,true,"[]",,false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","OutputVariablesFormatText","Output Variables Format Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","OutputVariablesMappingText","Output Variables Mapping Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","StageStepSequence","Stage Step Sequence","int",0,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","Stage","Stage","picklist",255,true,"[]",,false,true,,"[""Calculation"",""Aggregation""]",false
"CalculationProcedureStep","Calculation Procedure Step","ReferenceProcedureId","Calculation Procedure ID","reference",18,true,"[""CalculationProcedure""]","ReferenceProcedure",false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","Description","Description","string",255,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","ReturnMessageValueSet","Return Message Value Set","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","Namespace","Namespace","string",255,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","DecisionTableId","Decision Table ID","reference",18,true,"[""DecisionTable""]","DecisionTable",false,true,,"[]",false
