"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"CalculationMatrixColumn","Decision Matrix Column","Id","Decision Matrix Column ID","id",18,false,"[]",,false,false,,"[]",false
"CalculationMatrixColumn","Decision Matrix Column","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"CalculationMatrixColumn","Decision Matrix Column","Name","Name","string",255,false,"[]",,false,true,,"[]",false
"CalculationMatrixColumn","Decision Matrix Column","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationMatrixColumn","Decision Matrix Column","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"CalculationMatrixColumn","Decision Matrix Column","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationMatrixColumn","Decision Matrix Column","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"CalculationMatrixColumn","Decision Matrix Column","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationMatrixColumn","Decision Matrix Column","CalculationMatrixId","Decision Matrix ID","reference",18,false,"[""CalculationMatrix""]","CalculationMatrix",false,false,,"[]",false
"CalculationMatrixColumn","Decision Matrix Column","ApiName","API Name","string",80,true,"[]",,false,true,,"[]",false
"CalculationMatrixColumn","Decision Matrix Column","ColumnType","Column Type","picklist",255,true,"[]",,false,false,,"[""Input"",""Output""]",false
"CalculationMatrixColumn","Decision Matrix Column","DataType","Data Type","picklist",255,true,"[]",,false,false,,"[""Text"",""Number"",""Number Range"",""Text Range"",""Currency"",""Percent"",""Boolean""]",false
"CalculationMatrixColumn","Decision Matrix Column","DisplaySequence","Display Sequence","int",0,true,"[]",,false,true,,"[]",false
"CalculationMatrixColumn","Decision Matrix Column","RangeValues","Range Values","textarea",32768,true,"[]",,false,true,,"[]",false
"CalculationMatrixColumn","Decision Matrix Column","IsWildcardColumn","Wildcard Column","boolean",0,false,"[]",,false,true,,"[]",false
"CalculationMatrixColumn","Decision Matrix Column","WildcardColumnValue","Wildcard Column Value","string",255,true,"[]",,false,true,,"[]",false
"CalculationMatrixColumn","Decision Matrix Column","Namespace","Namespace","string",255,true,"[]",,false,true,,"[]",false
